Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,10.92562675,7.52586460
0.00200000,10.92562675,7.52586460
0.00400000,11.83507824,8.43226433
0.00600000,10.92562675,8.43226433
0.00800000,10.92562675,8.43226433
0.01000000,10.92562675,8.43226433
0.01200000,10.92562675,7.52586460
0.01400000,10.92562675,8.43226433
0.01600000,10.92562675,8.43226433
0.01800000,10.92562675,8.43226433
0.02000000,11.83507824,7.52586460
0.02200000,10.92562675,8.43226433
0.02400000,10.92562675,8.43226433
0.02600000,10.92562675,7.52586460
0.02800000,10.92562675,7.52586460
0.03000000,10.92562675,7.52586460
0.03200000,10.92562675,7.52586460
0.03400000,10.92562675,7.52586460
0.03600000,10.92562675,8.43226433
0.03800000,10.92562675,8.43226433
0.04000000,10.92562675,7.52586460
0.04200000,10.92562675,7.52586460
0.04400000,11.83507824,7.52586460
0.04600000,10.92562675,8.43226433
0.04800000,10.92562675,7.52586460
0.05000000,10.92562675,7.52586460
0.05200000,10.92562675,7.52586460
0.05400000,11.83507824,7.52586460
0.05600000,10.92562675,7.52586460
0.05800000,10.92562675,8.43226433
0.06000000,10.92562675,8.43226433
0.06200000,10.92562675,8.43226433
0.06400000,10.92562675,8.43226433
0.06600000,10.92562675,8.43226433
0.06800000,11.83507824,7.52586460
0.07000000,11.83507824,8.43226433
0.07200000,11.83507824,8.43226433
0.07400000,10.92562675,8.43226433
0.07600000,11.83507824,7.52586460
0.07800000,10.92562675,7.52586460
0.08000000,10.92562675,8.43226433
0.08200000,10.92562675,7.52586460
0.08400000,10.92562675,8.43226433
0.08600000,11.83507824,8.43226433
0.08800000,11.83507824,8.43226433
0.09000000,10.92562675,8.43226433
0.09200000,10.92562675,7.52586460
0.09400000,11.83507824,8.43226433
0.09600000,10.92562675,8.43226433
0.09800000,10.92562675,8.43226433
0.10000000,10.92562675,7.52586460
0.10200000,10.92562675,8.43226433
0.10400000,11.83507824,8.43226433
0.10600001,10.92562675,8.43226433
0.10800001,10.92562675,8.43226433
0.11000001,10.92562675,7.52586460
0.11200001,10.92562675,7.52586460
0.11400001,10.92562675,8.43226433
0.11600001,11.83507824,8.43226433
0.11800001,10.92562675,8.43226433
0.12000001,10.92562675,7.52586460
0.12200001,10.92562675,7.52586460
0.12400001,11.83507824,8.43226433
0.12600001,10.92562675,7.52586460
0.12800001,10.92562675,7.52586460
0.13000001,11.83507824,7.52586460
0.13200001,10.92562675,8.43226433
0.13400001,12.74452972,8.43226433
0.13600001,10.92562675,7.52586460
0.13800001,12.74452972,8.43226433
0.14000001,11.83507824,8.43226433
0.14200001,11.83507824,7.52586460
0.14400001,10.92562675,8.43226433
0.14600001,10.92562675,8.43226433
0.14800001,10.92562675,7.52586460
0.15000001,11.83507824,8.43226433
0.15200001,11.83507824,8.43226433
0.15400001,11.83507824,8.43226433
0.15600001,10.92562675,8.43226433
0.15800001,11.83507824,8.43226433
0.16000001,11.83507824,8.43226433
0.16200001,12.74452972,7.52586460
0.16400001,11.83507824,8.43226433
0.16600001,10.92562675,8.43226433
0.16800001,11.83507824,8.43226433
0.17000001,10.92562675,8.43226433
0.17200001,10.92562675,8.43226433
0.17400001,10.92562675,8.43226433
0.17600001,11.83507824,7.52586460
0.17800001,11.83507824,8.43226433
0.18000001,11.83507824,8.43226433
0.18200001,10.92562675,8.43226433
0.18400001,10.92562675,7.52586460
0.18600001,11.83507824,7.52586460
0.18800001,11.83507824,8.43226433
0.19000001,10.92562675,7.52586460
0.19200001,10.92562675,8.43226433
0.19400001,11.83507824,7.52586460
0.19600001,10.92562675,8.43226433
0.19800001,10.92562675,7.52586460
0.20000001,11.83507824,8.43226433
0.20200001,11.83507824,8.43226433
0.20400001,11.83507824,7.52586460
