Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,7.50755310,5.31479836
0.00200000,7.50755310,5.31479836
0.00400000,7.50755310,5.76799822
0.00600000,7.96380520,5.31479836
0.00800000,7.50755310,5.31479836
0.01000000,7.50755310,5.76799822
0.01200000,7.50755310,5.31479836
0.01400000,7.96380520,5.31479836
0.01600000,7.50755310,5.31479836
0.01800000,7.50755310,5.31479836
0.02000000,7.50755310,5.31479836
0.02200000,7.96380520,5.31479836
0.02400000,7.50755310,5.31479836
0.02600000,7.50755310,5.31479836
0.02800000,7.50755310,5.31479836
0.03000000,7.50755310,5.31479836
0.03200000,7.96380520,5.31479836
0.03400000,8.41853046,5.31479836
0.03600000,7.50755310,5.76799822
0.03800000,7.96380520,5.31479836
0.04000000,7.96380520,5.31479836
0.04200000,7.50755310,5.31479836
0.04400000,7.50755310,5.31479836
0.04600000,7.50755310,4.86159849
0.04800000,7.50755310,5.31479836
0.05000000,7.96380520,5.31479836
0.05200000,7.96380520,5.76799822
0.05400000,7.50755310,5.31479836
0.05600000,7.50755310,5.31479836
0.05800000,7.96380520,5.76799822
0.06000000,8.41853046,5.31479836
0.06200000,7.50755310,5.31479836
0.06400000,7.96380520,5.31479836
0.06600000,8.41853046,5.31479836
0.06800000,7.50755310,5.76799822
0.07000000,7.50755310,5.31479836
0.07200000,7.96380520,5.31479836
0.07400000,7.96380520,5.31479836
0.07600000,7.50755310,5.31479836
0.07800000,7.50755310,5.31479836
0.08000000,7.50755310,5.31479836
0.08200000,7.50755310,5.31479836
0.08400000,7.96380520,5.31479836
0.08600000,7.50755310,5.31479836
0.08800000,7.50755310,5.31479836
0.09000000,7.50755310,5.31479836
0.09200000,7.50755310,5.31479836
0.09400000,7.50755310,5.31479836
0.09600000,7.96380520,5.31479836
0.09800000,7.96380520,5.31479836
0.10000000,7.96380520,5.31479836
0.10200000,7.50755310,5.31479836
0.10400000,7.50755310,5.31479836
0.10600001,7.50755310,5.31479836
0.10800001,7.50755310,5.31479836
0.11000001,7.50755310,5.31479836
0.11200001,7.96380520,5.31479836
0.11400001,7.50755310,5.31479836
0.11600001,7.96380520,5.31479836
0.11800001,7.50755310,5.31479836
0.12000001,7.50755310,5.31479836
0.12200001,7.50755310,5.31479836
0.12400001,7.50755310,5.31479836
0.12600001,7.50755310,5.31479836
0.12800001,7.50755310,5.31479836
0.13000001,7.96380520,5.31479836
0.13200001,7.50755310,5.31479836
0.13400001,7.96380520,5.31479836
0.13600001,7.50755310,5.31479836
0.13800001,7.96380520,5.76799822
0.14000001,7.96380520,5.31479836
0.14200001,7.96380520,5.31479836
0.14400001,7.50755310,5.76799822
0.14600001,7.50755310,5.31479836
0.14800001,7.50755310,5.31479836
0.15000001,7.96380520,5.31479836
0.15200001,7.96380520,5.31479836
0.15400001,7.96380520,5.31479836
0.15600001,7.50755310,5.31479836
0.15800001,7.50755310,5.31479836
0.16000001,7.50755310,5.31479836
0.16200001,7.50755310,5.31479836
0.16400001,7.50755310,5.76799822
0.16600001,7.50755310,5.31479836
0.16800001,7.96380520,5.31479836
0.17000001,7.50755310,5.76799822
0.17200001,7.96380520,5.31479836
0.17400001,7.50755310,5.31479836
0.17600001,7.50755310,5.31479836
0.17800001,7.96380520,5.31479836
0.18000001,7.96380520,5.31479836
0.18200001,7.96380520,5.31479836
0.18400001,7.50755310,5.31479836
0.18600001,7.50755310,5.76799822
0.18800001,7.50755310,5.31479836
0.19000001,7.50755310,5.31479836
0.19200001,7.50755310,5.31479836
0.19400001,7.50755310,5.31479836
0.19600001,7.50755310,5.31479836
0.19800001,7.96380520,5.31479836
0.20000001,7.50755310,5.31479836
0.20200001,7.96380520,5.31479836
0.20400001,7.50755310,5.31479836
