Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,6.14184999,8.03552341
0.00200000,6.59657574,8.03552341
0.00400000,6.59657574,8.03552341
0.00600000,6.59657574,8.03552341
0.00800000,6.59657574,7.58232355
0.01000000,6.59657574,8.03552341
0.01200000,6.59657574,7.58232355
0.01400000,6.14184999,7.58232355
0.01600000,6.59657574,7.58232355
0.01800000,6.14184999,8.03552341
0.02000000,6.59657574,7.58232355
0.02200000,6.59657574,8.03552341
0.02400000,6.14184999,8.03552341
0.02600000,6.59657574,8.03552341
0.02800000,6.14184999,8.03552341
0.03000000,6.59657574,8.03552341
0.03200000,6.59657574,8.03552341
0.03400000,6.14184999,7.58232355
0.03600000,6.59657574,7.58232355
0.03800000,6.14184999,8.03552341
0.04000000,6.14184999,8.03552341
0.04200000,6.14184999,8.03552341
0.04400000,6.59657574,7.58232355
0.04600000,6.14184999,8.03552341
0.04800000,6.14184999,7.58232355
0.05000000,6.59657574,8.03552341
0.05200000,6.14184999,8.03552341
0.05400000,5.68559837,8.03552341
0.05600000,6.14184999,8.03552341
0.05800000,6.59657574,8.03552341
0.06000000,6.59657574,7.58232355
0.06200000,6.14184999,7.58232355
0.06400000,6.14184999,8.03552341
0.06600000,6.14184999,8.03552341
0.06800000,6.14184999,8.03552341
0.07000000,6.14184999,8.03552341
0.07200000,6.14184999,8.03552341
0.07400000,5.68559837,8.03552341
0.07600000,6.14184999,8.03552341
0.07800000,5.68559837,7.58232355
0.08000000,5.68559837,7.58232355
0.08200000,5.68559837,7.58232355
0.08400000,6.14184999,8.03552341
0.08600000,6.14184999,7.58232355
0.08800000,6.14184999,7.58232355
0.09000000,5.68559837,7.58232355
0.09200000,6.14184999,7.58232355
0.09400000,5.68559837,8.03552341
0.09600000,6.14184999,7.58232355
0.09800000,6.14184999,8.03552341
0.10000000,6.14184999,7.58232355
0.10200000,6.14184999,7.58232355
0.10400000,6.14184999,8.03552341
0.10600001,6.14184999,8.03552341
0.10800001,6.14184999,8.03552341
0.11000001,5.68559837,8.03552341
0.11200001,6.14184999,8.03552341
0.11400001,5.68559837,8.03552341
0.11600001,5.68559837,8.03552341
0.11800001,5.68559837,8.03552341
0.12000001,6.14184999,8.03552341
0.12200001,6.14184999,8.03552341
0.12400001,5.68559837,8.03552341
0.12600001,6.14184999,8.03552341
0.12800001,6.14184999,8.03552341
0.13000001,5.68559837,8.03552341
0.13200001,5.68559837,7.58232355
0.13400001,6.14184999,8.03552341
0.13600001,5.68559837,8.03552341
0.13800001,5.68559837,7.58232355
0.14000001,5.68559837,7.58232355
0.14200001,5.68559837,8.03552341
0.14400001,5.68559837,7.58232355
0.14600001,5.68559837,8.03552341
0.14800001,5.68559837,7.58232355
0.15000001,5.68559837,8.03552341
0.15200001,5.68559837,7.58232355
0.15400001,5.68559837,8.03552341
0.15600001,5.68559837,8.03552341
0.15800001,5.68559837,8.03552341
0.16000001,5.68559837,8.03552341
0.16200001,5.68559837,8.03552341
0.16400001,5.68559837,8.03552341
0.16600001,5.68559837,7.58232355
0.16800001,6.14184999,8.03552341
0.17000001,5.68559837,8.03552341
0.17200001,5.68559837,7.58232355
0.17400001,5.68559837,7.58232355
0.17600001,6.14184999,7.58232355
0.17800001,5.68559837,8.03552341
0.18000001,5.68559837,8.03552341
0.18200001,5.68559837,8.03552341
0.18400001,5.68559837,8.03552341
0.18600001,5.68559837,8.03552341
0.18800001,5.68559837,7.58232355
0.19000001,5.68559837,8.03552341
0.19200001,6.14184999,8.03552341
0.19400001,5.68559837,8.03552341
0.19600001,5.68559837,8.03552341
0.19800001,5.68559837,8.03552341
0.20000001,6.14184999,8.03552341
0.20200001,5.68559837,7.58232355
0.20400001,5.68559837,8.03552341
