Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,8.41853046,8.49024868
0.00100000,8.41853046,8.49024868
0.00200000,8.41853046,8.49024868
0.00300000,8.41853046,8.49024868
0.00400000,8.41853046,8.49024868
0.00500000,8.41853046,8.49024868
0.00600000,8.41853046,8.94344902
0.00700000,8.41853046,8.49024868
0.00800000,8.87478256,8.49024868
0.00900000,8.87478256,8.49024868
0.01000000,8.87478256,8.49024868
0.01100000,8.41853046,8.49024868
0.01200000,8.41853046,8.49024868
0.01300000,8.41853046,8.03552341
0.01400000,8.41853046,8.49024868
0.01500000,8.41853046,8.49024868
0.01600000,8.87478256,8.03552341
0.01700000,8.87478256,8.49024868
0.01800000,8.87478256,8.49024868
0.01900000,8.87478256,8.03552341
0.02000000,8.87478256,8.49024868
0.02100000,8.41853046,8.49024868
0.02200000,8.87478256,8.49024868
0.02300000,8.41853046,8.03552341
0.02400000,8.41853046,8.49024868
0.02500000,8.41853046,8.49024868
0.02600000,8.87478256,8.49024868
0.02700000,8.41853046,8.49024868
0.02800000,8.87478256,8.49024868
0.02900000,8.41853046,8.03552341
0.03000000,8.41853046,8.49024868
0.03100000,8.41853046,8.03552341
0.03200000,8.87478256,8.03552341
0.03300000,8.41853046,8.49024868
0.03400000,8.41853046,8.49024868
0.03500000,8.87478256,8.03552341
0.03600000,8.41853046,8.03552341
0.03700000,8.87478256,8.49024868
0.03800000,8.87478256,8.49024868
0.03900000,8.87478256,8.49024868
0.04000000,8.87478256,8.03552341
0.04100000,8.87478256,8.49024868
0.04200000,8.87478256,8.49024868
0.04300000,8.87478256,8.03552341
0.04400000,8.41853046,8.49024868
0.04500000,8.41853046,8.03552341
0.04600000,8.87478256,8.49024868
0.04700000,8.41853046,8.03552341
0.04800000,8.41853046,8.49024868
0.04900000,8.41853046,8.49024868
0.05000000,8.41853046,8.49024868
0.05100000,8.87478256,8.49024868
0.05200000,8.87478256,8.49024868
0.05300000,8.87478256,8.49024868
0.05400000,8.87478256,8.49024868
0.05500000,8.87478256,8.49024868
0.05600000,8.87478256,8.03552341
0.05700000,8.87478256,8.49024868
0.05800000,8.87478256,8.49024868
0.05900000,8.41853046,8.49024868
0.06000000,8.87478256,8.49024868
0.06100000,8.41853046,8.49024868
0.06200000,8.87478256,8.03552341
0.06300000,8.87478256,8.49024868
0.06400000,8.87478256,8.03552341
0.06500000,8.87478256,8.49024868
0.06600000,8.87478256,8.49024868
0.06700000,8.41853046,8.03552341
0.06800000,8.87478256,8.49024868
0.06900000,8.41853046,8.49024868
0.07000000,8.87478256,8.49024868
0.07100000,8.87478256,8.49024868
0.07200000,8.87478256,8.49024868
0.07300000,8.87478256,8.49024868
0.07400000,8.87478256,8.49024868
0.07500000,8.87478256,8.49024868
0.07600000,8.87478256,8.49024868
0.07700000,8.87478256,8.49024868
0.07800000,8.41853046,8.49024868
0.07900000,8.87478256,8.49024868
0.08000000,8.87478256,8.03552341
0.08100000,8.87478256,8.49024868
0.08200000,8.87478256,8.49024868
0.08300000,8.87478256,8.49024868
0.08400000,8.87478256,8.03552341
0.08500000,8.41853046,8.49024868
0.08600000,8.87478256,8.49024868
0.08700000,8.87478256,8.03552341
0.08800000,8.41853046,8.49024868
0.08900000,8.41853046,8.49024868
0.09000000,8.87478256,8.03552341
0.09100000,8.87478256,8.49024868
0.09200000,8.87478256,8.49024868
0.09300000,8.87478256,8.49024868
0.09400000,8.87478256,8.49024868
0.09500000,8.41853046,8.49024868
0.09600000,8.41853046,8.49024868
0.09700000,8.87478256,8.49024868
0.09800000,8.87478256,8.49024868
0.09900000,8.87478256,8.49024868
0.10000000,8.87478256,8.49024868
0.10100000,8.87478256,8.03552341
0.10200000,8.87478256,8.49024868
