Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,6.14184999,5.31479836
0.00200000,6.14184999,5.76799822
0.00400000,6.14184999,5.76799822
0.00600000,6.14184999,5.31479836
0.00800000,6.14184999,5.31479836
0.01000000,6.14184999,5.76799822
0.01200000,6.14184999,5.76799822
0.01400000,5.68559837,5.31479836
0.01600000,5.68559837,5.76799822
0.01800000,5.68559837,5.76799822
0.02000000,6.59657574,5.31479836
0.02200000,5.68559837,5.76799822
0.02400000,6.14184999,5.31479836
0.02600000,5.68559837,5.31479836
0.02800000,6.14184999,5.31479836
0.03000000,6.14184999,5.31479836
0.03200000,6.14184999,5.76799822
0.03400000,5.68559837,5.31479836
0.03600000,6.14184999,5.31479836
0.03800000,6.14184999,5.31479836
0.04000000,5.68559837,5.76799822
0.04200000,6.14184999,5.76799822
0.04400000,5.68559837,5.76799822
0.04600000,6.14184999,5.31479836
0.04800000,6.59657574,5.31479836
0.05000000,6.14184999,5.31479836
0.05200000,6.14184999,5.31479836
0.05400000,6.14184999,5.31479836
0.05600000,6.14184999,5.31479836
0.05800000,6.14184999,5.76799822
0.06000000,6.14184999,5.76799822
0.06200000,6.14184999,5.31479836
0.06400000,6.14184999,5.31479836
0.06600000,6.59657574,5.31479836
0.06800000,6.59657574,5.76799822
0.07000000,6.14184999,5.76799822
0.07200000,6.14184999,5.76799822
0.07400000,6.14184999,5.76799822
0.07600000,5.68559837,5.76799822
0.07800000,6.14184999,5.76799822
0.08000000,5.68559837,5.76799822
0.08200000,6.14184999,5.76799822
0.08400000,6.14184999,5.31479836
0.08600000,6.14184999,5.76799822
0.08800000,5.68559837,5.76799822
0.09000000,5.68559837,5.31479836
0.09200000,6.14184999,5.76799822
0.09400000,6.14184999,5.31479836
0.09600000,5.68559837,5.31479836
0.09800000,6.59657574,5.76799822
0.10000000,6.14184999,5.76799822
0.10200000,6.14184999,5.76799822
0.10400000,6.59657574,5.76799822
0.10600001,5.68559837,5.76799822
0.10800001,6.14184999,5.31479836
0.11000001,5.68559837,5.31479836
0.11200001,6.14184999,5.31479836
0.11400001,6.14184999,5.31479836
0.11600001,6.14184999,5.76799822
0.11800001,5.68559837,5.76799822
0.12000001,6.14184999,5.76799822
0.12200001,5.68559837,5.76799822
0.12400001,6.14184999,5.76799822
0.12600001,6.14184999,5.76799822
0.12800001,6.14184999,5.76799822
0.13000001,6.14184999,5.76799822
0.13200001,6.59657574,5.76799822
0.13400001,6.14184999,5.76799822
0.13600001,6.14184999,5.76799822
0.13800001,6.14184999,5.76799822
0.14000001,6.14184999,5.76799822
0.14200001,6.14184999,5.76799822
0.14400001,5.68559837,5.76799822
0.14600001,6.14184999,5.31479836
0.14800001,5.68559837,5.76799822
0.15000001,6.14184999,5.31479836
0.15200001,6.14184999,5.31479836
0.15400001,6.14184999,5.76799822
0.15600001,6.14184999,5.76799822
0.15800001,5.68559837,5.31479836
0.16000001,6.14184999,5.76799822
0.16200001,5.68559837,5.76799822
0.16400001,6.14184999,5.31479836
0.16600001,6.14184999,5.31479836
0.16800001,5.68559837,5.76799822
0.17000001,5.68559837,5.31479836
0.17200001,5.68559837,5.76799822
0.17400001,6.14184999,5.31479836
0.17600001,5.68559837,5.76799822
0.17800001,6.14184999,5.76799822
0.18000001,5.68559837,5.76799822
0.18200001,5.68559837,5.31479836
0.18400001,6.14184999,5.31479836
0.18600001,5.68559837,5.76799822
0.18800001,6.14184999,5.31479836
0.19000001,5.68559837,5.31479836
0.19200001,6.14184999,5.31479836
0.19400001,6.14184999,5.31479836
0.19600001,6.14184999,5.31479836
0.19800001,6.14184999,5.76799822
0.20000001,6.14184999,5.31479836
0.20200001,6.14184999,5.31479836
0.20400001,5.68559837,5.76799822
