Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,9.32950878,6.67592382
0.00200000,9.78575993,6.67592382
0.00400000,9.78575993,6.22119808
0.00600000,9.32950878,6.22119808
0.00800000,9.78575993,6.67592382
0.01000000,9.78575993,6.67592382
0.01200000,9.32950878,6.22119808
0.01400000,9.78575993,6.22119808
0.01600000,9.78575993,6.22119808
0.01800000,9.78575993,6.22119808
0.02000000,9.78575993,6.67592382
0.02200000,9.78575993,6.67592382
0.02400000,10.24048519,6.22119808
0.02600000,9.78575993,6.22119808
0.02800000,9.32950878,6.22119808
0.03000000,9.32950878,6.22119808
0.03200000,9.78575993,6.22119808
0.03400000,9.78575993,6.22119808
0.03600000,9.78575993,6.22119808
0.03800000,9.32950878,6.22119808
0.04000000,10.24048519,6.22119808
0.04200000,9.78575993,6.22119808
0.04400000,9.78575993,6.67592382
0.04600000,9.78575993,6.22119808
0.04800000,9.78575993,6.67592382
0.05000000,9.32950878,6.22119808
0.05200000,9.32950878,6.22119808
0.05400000,9.78575993,6.67592382
0.05600000,9.32950878,6.22119808
0.05800000,9.78575993,6.22119808
0.06000000,9.32950878,6.22119808
0.06200000,9.32950878,6.22119808
0.06400000,9.78575993,6.22119808
0.06600000,10.24048519,6.22119808
0.06800000,9.78575993,6.22119808
0.07000000,9.32950878,6.22119808
0.07200000,9.78575993,6.67592382
0.07400000,9.32950878,6.22119808
0.07600000,9.32950878,6.67592382
0.07800000,9.78575993,6.22119808
0.08000000,9.78575993,6.22119808
0.08200000,9.32950878,6.22119808
0.08400000,9.78575993,6.22119808
0.08600000,9.78575993,6.22119808
0.08800000,9.78575993,6.22119808
0.09000000,9.78575993,6.67592382
0.09200000,9.32950878,6.22119808
0.09400000,9.32950878,6.67592382
0.09600000,9.32950878,6.22119808
0.09800000,9.32950878,6.22119808
0.10000000,9.32950878,6.22119808
0.10200000,9.32950878,6.22119808
0.10400000,9.32950878,6.22119808
0.10600001,9.32950878,6.22119808
0.10800001,9.32950878,6.67592382
0.11000001,9.32950878,6.22119808
0.11200001,9.32950878,6.22119808
0.11400001,8.87478256,6.22119808
0.11600001,9.32950878,6.67592382
0.11800001,9.32950878,6.22119808
0.12000001,9.32950878,6.22119808
0.12200001,9.32950878,6.22119808
0.12400001,9.32950878,6.67592382
0.12600001,9.32950878,6.67592382
0.12800001,9.32950878,6.22119808
0.13000001,9.32950878,6.22119808
0.13200001,9.32950878,6.22119808
0.13400001,9.32950878,6.22119808
0.13600001,9.32950878,6.67592382
0.13800001,9.32950878,6.22119808
0.14000001,9.78575993,6.67592382
0.14200001,9.32950878,6.22119808
0.14400001,9.32950878,6.67592382
0.14600001,9.32950878,6.22119808
0.14800001,9.32950878,6.22119808
0.15000001,9.32950878,6.67592382
0.15200001,9.32950878,6.22119808
0.15400001,9.32950878,6.22119808
0.15600001,9.32950878,6.67592382
0.15800001,9.32950878,6.67592382
0.16000001,9.32950878,6.67592382
0.16200001,9.32950878,6.22119808
0.16400001,9.78575993,6.67592382
0.16600001,9.32950878,6.67592382
0.16800001,9.32950878,6.22119808
0.17000001,9.32950878,6.22119808
0.17200001,9.78575993,6.22119808
0.17400001,9.32950878,6.67592382
0.17600001,9.32950878,6.22119808
0.17800001,9.32950878,6.22119808
0.18000001,9.78575993,6.22119808
0.18200001,9.32950878,6.22119808
0.18400001,9.32950878,6.22119808
0.18600001,9.32950878,6.22119808
0.18800001,9.32950878,6.22119808
0.19000001,9.32950878,6.67592382
0.19200001,9.32950878,6.22119808
0.19400001,9.32950878,6.22119808
0.19600001,9.32950878,6.22119808
0.19800001,9.32950878,6.22119808
0.20000001,9.78575993,6.22119808
0.20200001,9.32950878,6.22119808
0.20400001,9.32950878,6.22119808
